Num :  73, Time : 354, Before :  3, After :  2
Num :  81, Time : 354, Before :  8, After : 19
Num :  69, Time : 355, Before :  4, After :  9
Num :  72, Time : 358, Before :  9, After :  8
Num :  11, Time : 360, Before :  8, After :  9
Num :  44, Time : 361, Before : 13, After : 14
Num :   7, Time : 362, Before : 14, After : 12
Num :   2, Time : 363, Before : 15, After : 14
Num :  64, Time : 363, Before : 15, After : 18
Num :  73, Time : 367, Before :  2, After :  9
Num :  52, Time : 367, Before : 14, After : 17
Num :  83, Time : 367, Before : 14, After : 12
Num :  22, Time : 367, Before : 11, After :  5
Num :  41, Time : 368, Before : 10, After : 15
Num : 100, Time : 368, Before :  2, After : 14
Num :  25, Time : 369, Before :  4, After : 19
Num :  29, Time : 373, Before :  4, After : 19
Num :  41, Time : 373, Before : 15, After : 10
Num :  22, Time : 374, Before :  5, After :  7
Num :  62, Time : 375, Before :  6, After : 10
Num :  55, Time : 375, Before :  5, After :  7
Num :  60, Time : 375, Before : 18, After : 14
Num :  53, Time : 376, Before :  2, After :  6
Num :  66, Time : 377, Before :  4, After :  1
Num :  86, Time : 379, Before :  9, After : 19
Num :  83, Time : 380, Before : 12, After :  1
Num :  40, Time : 382, Before :  1, After : 17
Num :  60, Time : 383, Before : 14, After : 18
Num :  46, Time : 384, Before :  6, After : 10
Num :  14, Time : 385, Before : 19, After : 16
Num :  32, Time : 385, Before : 10, After :  7
Num :  86, Time : 385, Before : 19, After :  9
Num :  30, Time : 386, Before :  4, After : 19
Num :  65, Time : 387, Before :  1, After : 11
Num :  52, Time : 390, Before : 17, After : 12
Num :  67, Time : 390, Before : 13, After :  2
Num :   3, Time : 393, Before : 15, After : 18
Num :  73, Time : 393, Before :  9, After :  3
Num :  63, Time : 394, Before :  4, After : 19
Num :  74, Time : 394, Before : 16, After :  1
Num :  49, Time : 395, Before :  6, After : 11
Num :  38, Time : 395, Before : 13, After :  9
Num :  20, Time : 396, Before : 12, After : 14
Num :  87, Time : 398, Before :  9, After : 10
Num :  25, Time : 398, Before : 19, After :  8
Num :  75, Time : 400, Before : 11, After : 15
Num :  49, Time : 400, Before : 11, After :  6
Num :  17, Time : 401, Before : 11, After : 15
Num :  97, Time : 401, Before :  9, After : 18
Num :  83, Time : 402, Before :  1, After : 12
Num :  31, Time : 403, Before :  7, After :  5
Num :  53, Time : 403, Before :  6, After : 18
Num :  19, Time : 404, Before : 14, After : 13
Num :  43, Time : 404, Before : 13, After : 18
Num :  60, Time : 404, Before : 18, After : 15
Num :  50, Time : 404, Before : 11, After :  5
Num :  55, Time : 404, Before :  7, After :  5
Num :  58, Time : 405, Before : 13, After : 17
Num :  41, Time : 406, Before : 10, After : 11
Num :  40, Time : 407, Before : 17, After : 12
Num :  75, Time : 408, Before : 15, After : 11
Num :  52, Time : 409, Before : 12, After : 14
Num :  21, Time : 409, Before :  7, After :  2
Num :  77, Time : 410, Before : 10, After : 11
Num :  29, Time : 411, Before : 19, After :  8
Num :  33, Time : 411, Before :  5, After :  1
Num :  43, Time : 412, Before : 18, After : 17
Num :  48, Time : 412, Before : 10, After :  7
Num :   4, Time : 413, Before :  8, After :  2
Num :  99, Time : 414, Before : 10, After : 14
Num :  77, Time : 416, Before : 11, After : 10
Num :  10, Time : 416, Before :  6, After :  2
Num :  68, Time : 417, Before : 15, After : 19
Num :  57, Time : 417, Before : 19, After :  4
Num :  55, Time : 418, Before :  5, After : 11
Num :  47, Time : 420, Before : 14, After : 11
Num :  50, Time : 421, Before :  5, After : 11
Num :  17, Time : 421, Before : 15, After : 11
Num :  39, Time : 421, Before :  7, After :  1
Num :  79, Time : 422, Before : 15, After : 14
Num :  48, Time : 423, Before :  7, After : 14
Num :  19, Time : 425, Before : 13, After : 14
Num :  30, Time : 425, Before : 19, After :  9
Num :  62, Time : 426, Before : 10, After :  6
Num :  50, Time : 426, Before : 11, After :  5
Num :  89, Time : 428, Before :  1, After : 17
Num :  52, Time : 429, Before : 14, After : 12
Num :  55, Time : 433, Before : 11, After :  5
Num :  32, Time : 434, Before :  7, After : 10
Num :  17, Time : 437, Before : 11, After : 15
Num :  52, Time : 438, Before : 12, After : 14
